gold_id,span,type,our_status,our_uri,our_label,our_score,job_id,company,title,city,langs,context,judgment,gold_uri,gold_notes
1,了解中文,L,matched,http://data.europa.eu/esco/skill/1fe42b38-cd42-4fc7-ae77-14e4c9e96295,Chinese,0.7029,3276,惠州高盛达科技股份有限公司,业务代表,惠州,越南语,"任职资格：
1、大专及以上学历，有@@海外大客户开发##[S]或@@海外业务经验##[S]，有智能产品，或者是智能家居、家电有关行业经验；
2、@@熟悉ToB 业务模式##[K]；具有相应的@@客户资源##[K]（日系、韩系、台系品牌厂和ODM厂等），有很强的@@新客户开发能力##[S]；
3、年龄 25-40岁，@@熟悉越南语##[L]，@@越南语口语能力##[L]需达到自由交流的水平；@@熟悉",,,
2,日语商务交流水平,L,matched,http://data.europa.eu/esco/skill/39c675c4-af13-49db-bbed-cf762102f85e,Japanese,0.68,1673,深圳基本半导体有限公司,功率模块设计工程师（日本）,深圳,日语,"任职要求：
1.@@N1##[L]合格或@@日语商务交流水平##[L]。
2.@@电子工程##[K]、@@电气工程##[K]、@@物理##[K]等相关专业本科及以上学历。
3.对于@@功率模块##[K]或@@电力电子领域##[K]，具有扎实的知识储备和相关工作经验。 (2年
4.善于@@团队合作##[T]，@@沟通能力强##[T]。
5.对新技术、新趋势感兴趣，具有@@持续学习的能力##[T]。
",,,
3,越南语—汉语,L,matched,http://data.europa.eu/esco/skill/bf60009d-8afb-4306-9b0d-cfe2f66ab08f,Vietnamese,0.7395,350,安徽安利材料科技股份有限公司,销售经理/客户经理（驻外岗位）,合肥,越南语,"负责公司越南及东盟市场开拓和产品销售，工作地点越南，待遇面议。
任职资格：
1、学历及专业：本科及以上学历，高分子、化学、合成革、纺织、经济学、营销、管理、越南语等相关专业；
2、语言技能：掌握@@越南语—汉语##[L]、@@越南语—英语##[L]沟通技能；
3、工作经验：2 年以上本岗位及相关专业工作经验，有鞋厂工作经验或国际知名品牌鞋类客户相关工作经验者优先考虑；
4、具有一定的@@沟通表达能",,,
4,西班牙语亦可,L,matched,http://data.europa.eu/esco/skill/14ee9f76-3524-43d5-8a1a-5ba8283f8bd7,Spanish,0.8005,2627,欣旺达动力科技股份有限公司,解决方案经理（海外市场）,深圳,西班牙语,"工作内容：
1、作为前端技术接口与客户进行@@技术对接##[S]；
2、基于对@@储能系统应用场景和痛点##[K]的了解，深度@@挖掘客户需求##[S]；
3、能够有效@@获取客户及友商的关键技术情报##[S]，并进行@@信息传递##[S]；
4、基于对@@储能电芯产品技术规划及开发状态##[K]的理解，可以针对客户的需求@@推广公司产品解决方案##[S]。
任职资格：
1、对@@电芯产品##[K",,,
5,日语综合能力良好,L,matched,http://data.europa.eu/esco/skill/39c675c4-af13-49db-bbed-cf762102f85e,Japanese,0.8025,1637,成都三环科技有限公司,材料研发超新星（日本留学生）,成都,日语,"工作内容：
1.负责@@新材料有机/无机体系分析与开发##[S]；
2.负责相关新材料的@@试验验证##[S]，@@总结汇报##[S]等；
3.负责@@调研新材料##[S]，@@撰写调研报告##[S]；
4.协助@@项目、标准、专利等材料的撰写##[S]；
5.负责材料的@@导入##[S]及@@推广##[S]。
要求：
1.无机、有机、复合材料、金属材料、化学化工等专业，熟悉@@材料的合成工艺##",,,
6,韩语会话,L,matched,http://data.europa.eu/esco/skill/f9bc2890-d1f2-4a83-bd7b-b150a7679c79,Korean,0.7496,4968,上海升翕光电科技有限公司,机械工程师-设计,上海,韩语,"职位描述：
1. 具有设备制作内在化的OLED设备设计经验职员
2. 装备制作国产化设计负责人
任职要求：
1. 专业是机械相关
2. 必须会@@Solidworks##[S], @@Autocad##[S]
3. 能进行简单的@@英语会话##[L]
优先条件：
1.有半导体、显示器设备设计经验者
2.会@@韩语会话##[L]的人    来自马-克-数-据-官网",,,
7,流利的英语沟通能力,L,matched,http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,English,0.7513,2078,北京晶澳太阳能光伏科技有限公司,大客户销售-北京（SW-EPC）,北京,通用小语种,"数据由马 克 团 队整理        岗位职责：
（请投递人注意工作地点及行业 光伏组件行业）

1. @@了解熟悉##[K]所在区域（北京）的市场情况、并且每季度给出@@书面报告##[S]；
2. @@实现所在区域的销售任务和收款##[S]；
3. 完成公司@@老客户关系维护##[S]，@@开发新的客户##[S] ；@@维护所在区域主管政府部门关系##[S]（如：发改委）、五大/六小央企发电客",,,
8,朝鲜语中级,L,matched,http://data.europa.eu/esco/skill/f9bc2890-d1f2-4a83-bd7b-b150a7679c79,Korean,0.7685,676,威海华菱光电股份有限公司,技术支持工程师（韩语）,威海,韩语,"一、岗位职责：
①进行@@售前和售后技术支持工作##[S]。
②对客户进行@@技术指导##[S]。
③@@研究和解决产品应用技术问题##[S]。
④@@建立检测手段##[S]快速@@找到应用问题##[S]。
⑤@@编写技术支持手册##[S]。

二、任职资格：
本科以上学历，专业不限，电子信息类专业优先。

三、其他要求：
①@@韩语##[L]熟练，@@朝鲜语中级##[L]以上，@@口语交流##[",,,
9,韩语能作为工作语言,L,matched,http://data.europa.eu/esco/skill/f9bc2890-d1f2-4a83-bd7b-b150a7679c79,Korean,0.7494,824,珠海泰坦新动力电子有限公司,销售（韩语）,珠海,韩语,"岗位职责：
1、与客户@@沟通##[T]，了解客户的详细需求；
2、根据客户需求，@@制定自动化生产线的整线设计方案##[S]；
3、向客户@@介绍详细的设计方案及其优势##[S]；
4、@@吸收市场上最新的设备工艺及锂电池工艺##[S]；
5、不断@@传递信息##[T]引导研发设计有前景的设备；
6、项目运作中任何详细@@技术指导##[S]。
岗位要求：
1、本科以上学历，韩语相关、理工科等专业",,,
10,英语会话水平,L,matched,http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,English,0.681,1991,深圳市法本信息技术股份有限公司,汽车文案专员（英语+双休法定假+六险一金）,北京,"德语, 意大利语, 法语, 通用小语种","主要职责：
1、基于小鹏自研的系统工具，整体管理UI从@@中文##[L]到@@英文##[L]以及其它语言的@@翻译##[S]和@@校核流程##[S]
2、基于飞书系统工具，整体管理、实时更新小鹏汽车海外市场的@@专用术语表##[K]
3、负责与相关产研测团队对接，保证文本按时交付到@@翻译环节##[S]
4、负责与相关外部翻译公司对接，保证@@翻译##[S]与@@外部校核环节##[S]按时完成
5",,,
11,韩语精通,L,matched,http://data.europa.eu/esco/skill/f9bc2890-d1f2-4a83-bd7b-b150a7679c79,Korean,0.8012,693,SK新能源（江苏）有限公司,会计主管（韩语）,盐城,韩语,"岗位职责：
1. 负责公司收支原始凭证的@@审核##[S]，@@账务处理##[S]符合@@会计准则##[K]及公司规章制度；
2. 负责人工费用及其他各项预提费用的@@审核及管理##[S]；
3. 定制组织相关部门对固定资产及流动资产进行@@清查##[S]、@@核实##[S]，确保自查的准确性；
4. 组织外部专业机构@@编制年度审计报告##[S]及@@应对相关审计事项##[S]；
5. 定期组织",,,
12,俄语专八,L,matched,http://data.europa.eu/esco/skill/6891bbce-20bf-4afc-bd5e-75bdf54c0165,Russian,0.682,399,华贸铁路运营管理有限公司,铁路进口操作,重庆,俄语,"岗位职责：
1. 负责货物运输代理的日常铁路进口操作工作，包括订舱、货物追踪、单据收集整理、台账制作；
2. 负责经手业务的费用核对、账单制作、汇款跟踪等；
3. 货物运输过程中紧急事件的处理；
4. 完成领导安排的其他工作。


任职要求：
1. 统招本科及以上学历，@@英语6级##[L]及以上，或@@俄语专八##[L]及以上，国际贸易、物流管理等专业优先；
2. 具有铁路操作两年及以上经验；
",,,
13,日语听说读写能力（N1）,L,matched,http://data.europa.eu/esco/skill/39c675c4-af13-49db-bbed-cf762102f85e,Japanese,0.78,1664,上海索广映像有限公司,人事实习生(日语）(J10226),上海,日语,"工作职责:
1、协助参与@@人事激励政策、制度类相关方案策划##[S]等相关业务；
2、协助参与各项@@人力资源管理模块项目##[S]，如@@培训##[S]、@@敬业度调查##[S]、@@招聘##[S]等；
3、能充分理解@@企业文化使命愿景##[K]，参与@@企业文化理念的策划和宣传##[S]等相关业务；
4、协助参与@@人事相关数据的梳理、更新、分析##[S]等，为人事策划方案提供可参考依据；",,,
14,Fluent in Chinese and English,L,matched,http://data.europa.eu/esco/skill/1fe42b38-cd42-4fc7-ae77-14e4c9e96295,Chinese,0.7259,5128,江苏新泉汽车饰件股份有限公司,Sales,常州,德语,"www.macrodatas.cn    。1、@@Develop business growth in OEM customer (Current/New OEM)##[S]; 
2、@@Ensure the gross margin increasing on the existing business##[S]; 
3、@@Follow up the engineering change a",,,
15,日语口语水平,L,matched,http://data.europa.eu/esco/skill/39c675c4-af13-49db-bbed-cf762102f85e,Japanese,0.7636,2566,广汽丰田汽车有限公司,新车型质量工程师,广州,日语,"工作职责:
1、负责新车型项目上市前@@品质确保活动策划##[S]及@@监查运营##[S]，包括@@项目定位理解##[S]、@@品质目标设定##[S]、@@重点品质确保事项策定##[S]、《品质要望书》@@编制发行##[S]、@@过程进展监查##[S]等；
2、@@企划##[S]新车型上市前的@@车辆评价活动##[S]（含社外三高、智能座舱、新四化场景等），并快速@@对应指摘问题点##[S]直至完",,,
16,俄语精通,L,matched,http://data.europa.eu/esco/skill/6891bbce-20bf-4afc-bd5e-75bdf54c0165,Russian,0.8012,517,成都建筑材料工业设计研究院有限公司,俄语财务人员,成都,俄语,"岗位内容：
1. 负责@@财务数据的收集##[S]、@@整理##[S]和@@分析##[S]，确保@@账目的准确性##[S]；
2. @@编制财务报表##[S]并进行@@核对##[S]，包括@@资产负债表##[K]、@@利润表##[K]等各项报表；
3. 参与@@预算制定##[S]和@@执行##[S]，协助管理人员做好@@公司财务控制##[S]工作；
4. @@组织开展财务审核##[S]、@@内部审",,,
17,阿拉伯语翻译,L,matched,http://data.europa.eu/esco/skill/33859d93-987c-4caa-a0a9-6159ea7bbc2a,Arabic,0.7059,489,广东雄塑科技集团股份有限公司,阿拉伯语翻译/业务员,佛山,阿拉伯语,"小团队办公
@@阿拉伯语翻译##[L]，或主做阿拉伯市场@@外贸业务##[S]
任职要求：
1、@@出口业务信息笔译##[L]、@@口译##[L]；
2、负责所在市场的@@信息收集##[S]及@@分析##[S]；
3、国际市场的@@客户接洽##[S]、@@合同谈判##[S]；
岗位要求:：
1、流利的@@阿拉伯语##[L]、听说读写能力，基本的@@英语听说能力##[L];
2、良好的@@沟通##[",,,
18,韩语熟练,L,matched,http://data.europa.eu/esco/skill/f9bc2890-d1f2-4a83-bd7b-b150a7679c79,Korean,0.8044,222,深圳市裕同包装科技股份有限公司,韩语销售代表,烟台,韩语,"1、大专及其以上学历，@@韩语熟练##[L]，反应灵敏；
2、3年及其以上业务营销等相关工作经验 ，有包装行业经验者优先 ；
工作内容
1、@@跟进客户信息##[S]及@@导入##[S]；
2、根据客户需求，@@跟进厂区生产打样状况##[S]；
3、@@跟进客户出货##[S]及其@@货款回收##[S]；",,,
19,英语面试,L,matched,http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,English,0.599,2849,深圳市帝迈生物技术有限公司,海外销售代表/主管/经理-亚洲市场 (MJ000566),深圳,通用小语种,"其他福利：公司提供多条班车线路，方便日常通勤。
关键岗位要求：此岗位需要@@英语口语##[L]作为工作语言，熟悉亚洲地区（亚太或南亚或中东）的@@医疗行业市场情况##[K]，需要短期海外出差，具体负责区域与面试官协同确定。
注：面试将以@@英语面试##[L]为主。
-------------------------------------------------------------------",,,
20,六级英语,L,matched,http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,English,0.559,1521,江苏国泰国盛实业有限公司,管理培训生,苏州,通用小语种,"招聘要求：毕业两年内，本科或硕士学历，@@六级英语##[L]以上或其他语种同等水平，特殊优秀人员@@英语##[L]可放宽至四级，作为未来各方向骨干人才培养
年收入构成：基本工资+绩效奖金+管培生特殊津贴
第一年综合15万起
培养方向：
生产方向：@@版师##[S]、@@TD##[S]、@@IE##[S]、@@厂长助理##[S]、@@QC##[S]
业务方向：@@业务骨干##[S]、@@设计##[S",,,
21,日语语言基础,L,matched,http://data.europa.eu/esco/skill/39c675c4-af13-49db-bbed-cf762102f85e,Japanese,0.7689,996,东鹏饮料（集团）股份有限公司,商务专员,深圳,日语,"日语、英语翻译
工作内容：
1.熟练掌握@@日语##[L]，达到@@听、说、读、写、译##[L]全部熟练的水平，具备良好的@@语言表达能力##[L]和@@理解能力##[T]；
2.协助公司内部各项@@日文工作##[S]，包括但不限于@@商务洽谈##[S]、@@文件整理##[S]等；
3. 熟练掌握@@商务英语##[L]，用@@中英文##[L]进行清晰、准确、有效的@@口头和书面沟通##[T]。
4",,,
22,韩语/朝鲜语,L,matched,http://data.europa.eu/esco/skill/f9bc2890-d1f2-4a83-bd7b-b150a7679c79,Korean,0.7365,7,江西联创电子有限公司,技术支持岗（日语/韩语/英语）,合肥,"日语, 韩语","职责：
1、客户端（日本/韩国/欧美）@@问题点检讨##[S]&amp;对应及提供@@技术支持##[S]；
2、主导为客户进行@@方案设计##[S],对客户进行产品的@@技术引导##[S]和@@技术培训##[S],对客户进行产品的@@售后技术服务##[S]、@@市场引导##[S],将@@市场信息反馈##[S]给研发人员
要求：
1、本科学历，@@英语##[L]、@@韩语/朝鲜语##[L]、@@日语",,,
23,日语沟通表达能力,L,matched,http://data.europa.eu/esco/skill/39c675c4-af13-49db-bbed-cf762102f85e,Japanese,0.7978,3061,深圳市尚水智能股份有限公司,总经理助理（日语/英语）,深圳,日语,"【岗位职责】

1、提供@@初步筛选##[S]和处理来自内外部的@@电话、邮件和其他通信##[S]，确保信息传达到适当的人员。

2、@@管理日常行政工作##[S]，如@@文件管理##[S]、@@数据输入##[S]、@@档案维护##[S]和@@文书处理##[S]等。

3、@@协助安排会议、培训和活动##[S]，并负责@@预订场地##[S]、@@发送邀请函##[S]、@@准备会议资料##[S]和@",,,
24,阅读和理解英文技术文档,L,matched,http://data.europa.eu/esco/skill/7ee20fe2-facd-4cc5-837b-927429e0e7ac,understand written English,0.579,3137,宁波德昌科技有限公司,小家电结构工程师,宁波,通用小语种,"岗位职责：
1.负责小家电产品@@结构设计##[S]，包括@@零件建模##[S]、@@机构分析##[S]、@@出图##[S]等。
2.与模具供应商@@沟通产品模具设计及修改##[S]。
3.@@项目跟进##[S]，包括初期@@工艺分析##[S]、@@可制造性分析##[S]、后期@@制程异常点检及改进##[S]。
4.负责@@样品承认工作##[S]，新开发产品资料转交生产及相关部门。
5.完成上级安",,,
25,英语听说读写,L,matched,http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,English,0.696,290,温州市冠盛汽车零部件集团股份有限公司,物流总监(J10174),南京,通用小语种,"工作职责:
负责统筹国内外物流运输、物流规划、仓储、包装及全球关务管理 。具体内容如下：
1、战略规划：深入研究行业现状、客户需求、公司战略规划与年度经营目标，@@制定有竞争力的物流战略##[S]、@@年度工作规划##[S]和@@目标##[S]，并推进落实；
 2、物流规划：@@制定运输策略##[S]、@@仓储策略##[S]及@@包装策略##[S]，包括@@全球仓网布局##[S]、@@物流网络设计",,,
26,会计中级职称,L,no_match,custom:language/7137cff69e33,[CUSTOM] 会计中级职称 (self-defined),0.3077,4533,港中旅华贸国际物流股份有限公司,俄罗斯财务经理,哈尔滨,俄语,"1.岗位职责：
（1）根据总部颁布的财务制度，完善本公司@@财务管理制度与流程##[K]，并监督落实。
（2）编制本公司年度预算方案，跟踪本公司的财务状况、经营成果及现金流量情况，实施@@财务评价##[S]和@@控制##[S]。
（3）组织编制本公司定期财务报表，保证准确性和及时性；对本公司整体财务运行情况进行分析，做出书面报告。
（4）负责@@业务结算##[S]、@@账务处理##[S]等工作；负",,,
